City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Georgetown,MY,80.89,scattered clouds,5.4112,100.3354,Cititel Penang
2,Calabozo,VE,94.44,broken clouds,8.9242,-67.4293,Hotel Giardini
3,Ushuaia,AR,39.29,moderate rain,-54.8,-68.3,Albatross Hotel
4,Rikitea,PF,78.33,light rain,-23.1203,-134.9692,People ThankYou
6,Bluff,NZ,41.81,few clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
9,Hermanus,ZA,72.9,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
11,Castro,BR,81.64,clear sky,-24.7911,-50.0119,CHACARA BAILLY
12,Ransang,PH,77.59,overcast clouds,8.9603,117.5828,Black and Crystal Sand Campsite
16,Saint-Philippe,RE,80.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
17,High Rock,BS,71.62,heavy intensity rain,26.6208,-78.2833,Hideaway Bahamas Beach Club
18,Busselton,AU,64.04,clear sky,-33.65,115.3333,Observatory Guest House
20,Puerto Ayora,EC,82.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
21,Cidreira,BR,73.35,overcast clouds,-30.1811,-50.2056,Hotel Castelo
25,Villamontes,BO,82.63,overcast clouds,-21.25,-63.5,Hotel Raldes
28,Cape Town,ZA,73.11,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
29,Salinopolis,BR,80.01,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
31,Punta Arenas,CL,51.91,few clouds,-53.15,-70.9167,Hotel Hain
36,Dingle,PH,74.77,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
38,Isangel,VU,78.91,broken clouds,-19.55,169.2667,Tanna Lodge
39,Mataura,NZ,41.49,scattered clouds,-46.1927,168.8643,Ellie's Villa
40,Zihuatanejo,MX,86.09,scattered clouds,17.6333,-101.55,La Casa Que Canta
42,Innisfail,AU,74.91,light rain,-17.5333,146.0333,Moondarra Motel
43,New Norfolk,AU,62.1,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
45,Ilheus,BR,84.0,moderate rain,-14.7889,-39.0494,Barravento Hotel
46,Wanaka,NZ,43.11,clear sky,-44.7,169.15,Wanaka Homestead Lodge and Cottages
47,East London,ZA,72.54,broken clouds,-33.0153,27.9116,Tu Casa
48,Pincher Creek,CA,46.51,broken clouds,49.4833,-113.952,BLUE MOUNTAIN MOTEL
49,Saint George,US,65.53,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
51,Kiama,AU,66.58,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
52,Angoche,MZ,79.79,scattered clouds,-16.2325,39.9086,Guest House HESADA
55,Kapaa,US,71.92,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
57,Rio Grande,BR,82.51,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
58,Bonavista,CA,37.4,overcast clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
59,Labuhan,ID,76.91,overcast clouds,-6.8844,112.2051,DoubleFAG
60,Hobart,AU,62.46,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
61,Biltine,TD,80.78,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
62,Iraquara,BR,75.83,overcast clouds,-12.2486,-41.6194,Pousada E Restaurante MKE
63,Saint-Francois,FR,49.68,clear sky,46.4154,3.9054,Manoir Du Bonheur
64,Port Elizabeth,ZA,70.09,overcast clouds,-33.918,25.5701,39 On Nile Guest House
65,Waipawa,NZ,54.23,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
66,Lebu,CL,66.47,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
67,Flinders,AU,66.38,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
69,Karratha,AU,84.99,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
71,Imbituba,BR,85.89,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
72,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
73,Butaritari,KI,82.13,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
75,Vallenar,CL,84.96,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
76,Ferkessedougou,CI,90.57,scattered clouds,9.6,-5.2,Hotel Chateau
79,Constitucion,CL,68.83,broken clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
81,Laguna,US,76.84,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
82,Orodara,BF,88.18,clear sky,10.9492,-4.9342,Bkf Orodara
85,Waddan,LY,58.42,clear sky,29.1614,16.139,محل الشريف محمد العايب
86,Tchollire,CM,82.98,broken clouds,8.4022,14.1698,"Auberge ""l'amicale"""
87,Eidsvag,NO,39.25,overcast clouds,62.7767,8.0668,Eidsvåg Fjordhotell
88,Yabassi,CM,83.84,overcast clouds,4.457,9.9682,MOTEL FOMI
91,Rocha,UY,69.69,clear sky,-34.4833,-54.3333,Hotel Arrarte
92,Gushikawa,JP,65.43,broken clouds,26.3544,127.8686,Kirari Guest House
94,Carnarvon,AU,78.87,few clouds,-24.8667,113.6333,Hospitality Carnarvon
