,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yellowknife,CA,62.456,-114.3525,-21.59,75,100,4.61,overcast clouds
1,Nanortalik,GL,60.1432,-45.2371,29.1,81,100,11.61,overcast clouds
2,Punta Arenas,CL,-53.15,-70.9167,50.11,57,20,57.53,light rain
3,San Quintin,MX,30.4833,-115.95,70.3,23,46,2.37,scattered clouds
4,Hithadhoo,MV,-0.6,73.0833,82.29,76,94,12.41,overcast clouds
5,Castro,BR,-24.7911,-50.0119,79.84,53,7,6.26,clear sky
6,Port Hueneme,US,34.1478,-119.1951,76.87,21,0,10.36,clear sky
7,Touros,BR,-5.1989,-35.4608,88.7,61,12,12.55,few clouds
8,Agadez,NE,19.75,10.25,70.97,11,4,6.8,clear sky
9,Port Elizabeth,ZA,-33.918,25.5701,71.89,78,100,9.22,overcast clouds
10,Rikitea,PF,-23.1203,-134.9692,78.67,70,18,11.63,few clouds
11,Busselton,AU,-33.65,115.3333,66.04,68,4,12.84,clear sky
12,Nioro,GM,13.35,-15.75,95.41,6,6,9.93,clear sky
13,Poum,NC,-20.2333,164.0167,81.48,76,100,14.47,overcast clouds
14,Paka,MY,4.6374,103.4368,76.93,100,63,1.14,broken clouds
15,Dikson,RU,73.5069,80.5464,-3.77,87,100,27.02,overcast clouds
16,Shepsi,RU,44.0361,39.1489,39.88,70,14,11.74,few clouds
17,Albany,US,42.6001,-73.9662,26.55,64,100,1.01,overcast clouds
18,Talnakh,RU,69.4865,88.3972,-7.47,69,12,9.13,few clouds
19,Bubaque,GW,11.2833,-15.8333,80.62,51,4,13.0,clear sky
20,Ushuaia,AR,-54.8,-68.3,47.86,71,75,47.18,heavy intensity drizzle
21,Barentu,ER,15.1139,37.5928,75.16,33,77,12.06,broken clouds
22,Hilo,US,19.7297,-155.09,67.24,82,40,5.99,scattered clouds
23,Goma,CD,-1.6792,29.2228,65.41,82,75,2.62,broken clouds
24,Bethel,US,41.3712,-73.414,32.0,82,100,9.22,light snow
25,Tukrah,LY,32.5341,20.5791,55.38,73,1,4.0,clear sky
26,Grand Gaube,MU,-20.0064,57.6608,81.37,76,100,5.99,overcast clouds
27,Gulu,UG,2.7746,32.299,84.27,26,84,9.42,broken clouds
28,Lavrentiya,RU,65.5833,-171.0,-20.54,93,23,3.29,few clouds
29,Port Alfred,ZA,-33.5906,26.891,73.99,82,78,10.94,broken clouds
30,Tiksi,RU,71.6872,128.8694,-12.57,93,100,11.05,overcast clouds
31,Husavik,IS,66.0449,-17.3389,3.11,79,14,14.85,few clouds
32,Acarau,BR,-2.8856,-40.12,86.31,63,85,15.77,overcast clouds
33,Riyadh,SA,24.6877,46.7219,62.74,25,0,10.4,clear sky
34,New Norfolk,AU,-42.7826,147.0587,63.9,59,89,2.46,overcast clouds
35,Leh,IN,34.1667,77.5833,6.1,81,99,0.78,overcast clouds
36,Ardakan,IR,32.31,54.0175,53.98,37,0,5.64,clear sky
37,Jamestown,US,42.097,-79.2353,20.52,49,100,5.75,overcast clouds
38,Porto Novo,BJ,6.4965,2.6036,87.62,59,64,6.6,light rain
39,Upernavik,GL,72.7868,-56.1549,-3.64,95,100,10.8,overcast clouds
40,Bredasdorp,ZA,-34.5322,20.0403,74.28,68,7,12.66,clear sky
41,Vaini,TO,-21.2,-175.2,78.96,89,20,4.61,few clouds
42,Hobyo,SO,5.3505,48.5268,77.38,70,39,14.27,scattered clouds
43,Vila,PT,42.0304,-8.1588,44.33,92,100,9.01,overcast clouds
44,Barrow,US,71.2906,-156.7887,-30.98,100,0,8.05,clear sky
45,Hermitage,US,41.2334,-80.4487,25.34,70,100,5.75,overcast clouds
46,Saint-Pierre,RE,-21.3393,55.4781,80.28,83,20,19.57,few clouds
47,Copala,MX,16.65,-98.9833,85.69,38,79,4.34,broken clouds
48,Visby,SE,57.6409,18.296,38.05,81,75,23.02,broken clouds
49,Kruisfontein,ZA,-34.0033,24.7314,70.18,72,31,11.56,scattered clouds
50,Atuona,PF,-9.8,-139.0333,77.38,78,33,12.62,light rain
51,Colares,PT,38.7992,-9.4469,59.79,73,75,18.01,broken clouds
52,Ahipara,NZ,-35.1667,173.1667,63.79,63,30,8.63,scattered clouds
53,Cayenne,GF,4.9333,-52.3333,86.04,83,100,14.97,overcast clouds
54,Santa Cruz,BO,-17.8,-63.1667,80.65,54,75,19.57,broken clouds
55,Lagoa,PT,39.05,-27.9833,57.49,64,84,7.36,broken clouds
56,Xinqing,CN,48.2333,129.5,-13.49,100,84,0.43,broken clouds
57,Chifeng,CN,42.2683,118.9636,7.14,93,100,7.52,light snow
